,Date,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,Proper_date,Full Location,latitude,longitude
1,09-Sep-2021,Unprovoked,surfing,M,6,Minor injury to right arm,N,1320,Not Determined,20210909,"USA Florida Ponce Inlet, Volusia County",29.0963729,-80.9369983
2,05-Sep-2021,Unprovoked,surfing,M,31,FATAL,Y,1030,White xhark,20210905,AUSTRALIA New South Wales Emerald Beach,-30.1574794,153.1501948
4,28-Aug-2021,Unprovoked,boarding,M,,Lacerations both sides of lower leg immediately above the ankle,N,1145,Not Determined,20210828,"USA Texas Galveston Island, Galveston County",29.241005,-94.90913289999999
5,03-Sep-2021,Unprovoked,fell,M,64,Severe injury to leg,N,1400,Not Determined,20210903,USA Louisiana off Grand Isle,29.2366172,-89.9872941
6,21-Aug-2021,Unprovoked,surfing,M,41,Left ankle and foot bitten,N,0640,Bull shark,20210821,"USA Florida Walton Beach Psrk, St. Lucie County",27.3378902,-80.23343059999999
7,13-Aug-2021,Unprovoked,swimming,F,21,Thigh injured,N,1700,Not Determined,20210813,CANADA Nova Scotia Cape Breton Island,46.2486851,-60.851817
8,07-Aug-2021,Provoked,harassing,M,,"No Injury, jet ski bitten PROVOKED INCIDENT",N,9999,Not Determined,20210807,AUSTRALIA Queensland North Stradbroke Island  ,-27.5323174,153.4626077
9,07-Aug-2021,Unprovoked,surfing,M,35,Minor cuts to right foot and ankle,N,1000,Not Determined,20210807,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984
10,07-Aug-2021,Unprovoked,snorkeling,M,15,Lacerations to legs,N,0751,Not Determined,20210807,"USA Florida Key Largo, Monroe County",25.1877642,-80.360297
11,03-Aug-2021,Unprovoked,no activity,M,,Lacerations to lower body,N,1146,Blacktip shark,20210803,"USA South Carolina Hilton Head Island, Beaufort County",32.216316,-80.752608
12,02-Aug-2021,Unprovoked,swimming,F,12,Lacerations and puncture wounds to lower left leg,N,1500,Blacktip shark,20210802,"USA Maryland Ocean City, Worcester County",38.3365032,-75.0849058
13,30-Jul-2021,Provoked,fishing,M,47,Hands bitten while attempting to unhook shark               PROVOKED INCIDENT,N,1100,Not Determined,20210730,"USA Florida Ponce Inlet, Volusia County",29.0963729,-80.9369983
14,27-Jul-2021,Unprovoked,standing,M,15,Lower left leg bitten,N,1330,Not Determined,20210727,USA North Carolina Wrightsville Beach,34.2085036,-77.7963709
15,27-Jul-2021,Unprovoked,surfing,M,58,Lower left leg bitten,N,9999,small blacktip shark,20210727,"USA Georgia Tybee Island, Chatham County",32.0002152,-80.845666
16,27-Jul-2021,Provoked,fishing,M,34,Leg bitten when he jumped on the sharkPROVOKED INCIDENT,N,2030,"Sickelfin lemon shark, 3m",20210727,AUSTRALIA Western Australia Varanus Island,-20.6516843,115.5784701
17,26-Jul-2021,Unprovoked,swimming,M,,Minor injury to calf ,N,1100,A small shark,20210726,"USA New York Jones Beach, Nassau County",40.6106158,-73.4445392
18,25-Jul-2021,Unprovoked,squatting,M,32,Lacerations to poster thigh and buttock,N,9999,Not Determined,20210725,BRAZIL Pernambuco Piedade,-8.1801557,-34.9203383
19,23-Jul-2021,Provoked,moving,M,55,Lacerations to lower right leg PROVOKED INCIDENT,N,9999,"Bull shark, +100kg",20210723,THAILAND Chanthaburi Province Kung Krabaenbay Royal Département Study Center ,12.5717411,101.8990621
20,21-Jul-2021,Unprovoked,surfing,F,,No injury,N,9999,Not Determined,20210723,"USA California Capitola Beach, Santa Cruz County",36.9716173,-121.9516263
22,19-Jul-2021,Unprovoked,surfing,M,,"No injury, knocked off board by shark",N,1230,"White shark, 3m",20210719,AUSTRALIA Western Australia Rottnest Island,-32.004113,115.5151009
23,15-Jul-2021,Unprovoked,boarding,M,11,Leg bitten,N,1630,Not Determined,20210715,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984
24,14-Jul-2021,Unprovoked,surfing,M,38,Injuries to leg and torso,N,0707,Not Determined,20210714,SOUTH AFRICA Eastern Cape Province Jeffrey's Bay,-34.0506714,24.9101544
